State,Date,HomeValue
AL,1975.25,24784.00
AL,1975.50,25102.00
AL,1975.75,25472.00
AL,1976.00,25903.00
AL,1976.25,26447.00
AL,1976.50,27059.00
AL,1976.75,27748.00
AL,1977.00,28532.00
AL,1977.25,29394.00
AL,1977.50,30306.00
AL,1977.75,31232.00
AL,1978.00,32124.00
AL,1978.25,33016.00
AL,1978.50,33973.00
AL,1978.75,35000.00
AL,1979.00,35986.00
AL,1979.25,36897.00
AL,1979.50,37708.00
AL,1979.75,38430.00
AL,1980.00,39064.00
AL,1980.25,39593.00
AL,1980.50,40193.00
AL,1980.75,40852.00
AL,1981.00,41428.00
AL,1981.25,41923.00
AL,1981.50,42378.00
AL,1981.75,42751.00
AL,1982.00,43025.00
AL,1982.25,43327.00
AL,1982.50,43738.00
AL,1982.75,44314.00
AL,1983.00,45055.00
AL,1983.25,45821.00
AL,1983.50,46585.00
AL,1983.75,47367.00
AL,1984.00,48162.00
AL,1984.25,48992.00
AL,1984.50,49736.00
AL,1984.75,50417.00
AL,1985.00,51032.00
AL,1985.25,51697.00
AL,1985.50,52485.00
AL,1985.75,53375.00
AL,1986.00,54328.00
AL,1986.25,55337.00
AL,1986.50,56396.00
AL,1986.75,57465.00
AL,1987.00,58500.00
AL,1987.25,59450.00
AL,1987.50,60285.00
AL,1987.75,61010.00
AL,1988.00,61662.00
AL,1988.25,62297.00
AL,1988.50,62863.00
AL,1988.75,63355.00
AL,1989.00,63831.00
AL,1989.25,64371.00
AL,1989.50,64999.00
AL,1989.75,65675.00
AL,1990.00,66333.00
AL,1990.25,66950.00
AL,1990.50,67566.00
AL,1990.75,68127.00
AL,1991.00,68740.00
AL,1991.25,69440.00
AL,1991.50,70226.00
AL,1991.75,71081.00
AL,1992.00,72000.00
AL,1992.25,72984.00
AL,1992.50,74027.00
AL,1992.75,75151.00
AL,1993.00,76326.00
AL,1993.25,77520.00
AL,1993.50,78729.00
AL,1993.75,79963.00
AL,1994.00,81199.00
AL,1994.25,82416.00
AL,1994.50,83592.00
AL,1994.75,84709.00
AL,1995.00,85789.00
AL,1995.25,86859.00
AL,1995.50,87945.00
AL,1995.75,89070.00
AL,1996.00,90222.00
AL,1996.25,91396.00
AL,1996.50,92569.00
AL,1996.75,93707.00
AL,1997.00,94808.00
AL,1997.25,95868.00
AL,1997.50,96902.00
AL,1997.75,97964.00
AL,1998.00,99076.00
AL,1998.25,100276.00
AL,1998.50,101564.00
AL,1998.75,102910.00
AL,1999.00,104268.00
AL,1999.25,105595.00
AL,1999.50,106887.00
AL,1999.75,108149.00
AL,2000.00,109385.00
AL,2000.25,110576.00
AL,2000.50,111712.00
AL,2000.75,112820.00
AL,2001.00,113942.00
AL,2001.25,115115.00
AL,2001.50,116336.00
AL,2001.75,117599.00
