Date,series1,series2,series3,series4,name,name_x,name_y
1/1/1948,0.586,,,,Participation Rate,12/1/2017,0.627
2/1/1948,0.589,,,,,,
3/1/1948,0.585,,,,,,
4/1/1948,0.590,,,,,,
5/1/1948,0.583,,,,,,
6/1/1948,0.592,,,,,,
7/1/1948,0.593,,,,,,
8/1/1948,0.589,,,,,,
9/1/1948,0.589,,,,,,
10/1/1948,0.587,,,,,,
11/1/1948,0.587,,,,,,
12/1/1948,0.591,,,,,,
1/1/1949,0.587,,,,,,
2/1/1949,0.590,,,,,,
3/1/1949,0.589,,,,,,
4/1/1949,0.588,,,,,,
5/1/1949,0.590,,,,,,
6/1/1949,0.586,,,,,,
7/1/1949,0.589,,,,,,
8/1/1949,0.592,,,,,,
9/1/1949,0.591,,,,,,
10/1/1949,0.596,,,,,,
11/1/1949,0.594,,,,,,
12/1/1949,0.592,,,,,,
1/1/1950,0.589,,,,,,
2/1/1950,0.589,,,,,,
3/1/1950,0.588,,,,,,
4/1/1950,0.592,,,,,,
5/1/1950,0.591,,,,,,
6/1/1950,0.594,,,,,,
7/1/1950,0.591,,,,,,
8/1/1950,0.595,,,,,,
9/1/1950,0.592,,,,,,
10/1/1950,0.594,,,,,,
11/1/1950,0.593,,,,,,
12/1/1950,0.592,,,,,,
1/1/1951,0.591,,,,,,
2/1/1951,0.591,,,,,,
3/1/1951,0.598,,,,,,
4/1/1951,0.591,,,,,,
5/1/1951,0.594,,,,,,
6/1/1951,0.590,,,,,,
7/1/1951,0.594,,,,,,
8/1/1951,0.592,,,,,,
9/1/1951,0.591,,,,,,
10/1/1951,0.594,,,,,,
11/1/1951,0.592,,,,,,
12/1/1951,0.596,,,,,,
1/1/1952,0.595,,,,,,
2/1/1952,0.595,,,,,,
3/1/1952,0.589,,,,,,
4/1/1952,0.588,,,,,,
5/1/1952,0.591,,,,,,
6/1/1952,0.591,,,,,,
7/1/1952,0.589,,,,,,
8/1/1952,0.587,,,,,,
9/1/1952,0.592,,,,,,
10/1/1952,0.587,,,,,,
11/1/1952,0.591,,,,,,
12/1/1952,0.592,,,,,,
1/1/1953,0.595,,,,,,
2/1/1953,0.595,,,,,,
3/1/1953,0.596,,,,,,
4/1/1953,0.591,,,,,,
5/1/1953,0.586,,,,,,
6/1/1953,0.589,,,,,,
7/1/1953,0.589,,,,,,
8/1/1953,0.586,,,,,,
9/1/1953,0.585,,,,,,
10/1/1953,0.585,,,,,,
11/1/1953,0.586,,,,,,
12/1/1953,0.583,,,,,,
1/1/1954,0.586,,,,,,
2/1/1954,0.593,,,,,,
3/1/1954,0.591,,,,,,
4/1/1954,0.592,,,,,,
5/1/1954,0.589,,,,,,
6/1/1954,0.585,,,,,,
7/1/1954,0.584,,,,,,
8/1/1954,0.587,,,,,,
9/1/1954,0.592,,,,,,
10/1/1954,0.588,,,,,,
11/1/1954,0.586,,,,,,
12/1/1954,0.581,,,,,,
1/1/1955,0.586,,,,,,
2/1/1955,0.584,,,,,,
3/1/1955,0.585,,,,,,
4/1/1955,0.590,,,,,,
5/1/1955,0.588,,,,,,
6/1/1955,0.588,,,,,,
7/1/1955,0.593,,,,,,
8/1/1955,0.597,,,,,,
9/1/1955,0.597,,,,,,
10/1/1955,0.598,,,,,,
11/1/1955,0.599,,,,,,
12/1/1955,0.602,,,,,,
1/1/1956,0.602,,,,,,
2/1/1956,0.599,,,,,,
3/1/1956,0.598,,,,,,
4/1/1956,0.599,,,,,,
5/1/1956,0.602,,,,,,
6/1/1956,0.601,,,,,,
7/1/1956,0.601,,,,,,
8/1/1956,0.600,,,,,,
9/1/1956,0.600,,,,,,
10/1/1956,0.598,,,,,,
11/1/1956,0.598,,,,,,
12/1/1956,0.598,,,,,,
1/1/1957,0.595,,,,,,
2/1/1957,0.599,,,,,,
3/1/1957,0.598,,,,,,
4/1/1957,0.595,,,,,,
5/1/1957,0.595,,,,,,
6/1/1957,0.598,,,,,,
7/1/1957,0.600,,,,,,
8/1/1957,0.593,,,,,,
9/1/1957,0.596,,,,,,
10/1/1957,0.595,,,,,,
11/1/1957,0.595,,,,,,
12/1/1957,0.596,,,,,,
1/1/1958,0.593,,,,,,
2/1/1958,0.593,,,,,,
3/1/1958,0.593,,,,,,
4/1/1958,0.596,,,,,,
5/1/1958,0.598,,,,,,
6/1/1958,0.595,,,,,,
7/1/1958,0.596,,,,,,
8/1/1958,0.598,,,,,,
9/1/1958,0.597,,,,,,
10/1/1958,0.596,,,,,,
11/1/1958,0.592,,,,,,
12/1/1958,0.592,,,,,,
1/1/1959,0.593,,,,,,
2/1/1959,0.590,,,,,,
3/1/1959,0.593,,,,,,
4/1/1959,0.594,,,,,,
5/1/1959,0.592,,,,,,
6/1/1959,0.592,,,,,,
7/1/1959,0.594,,,,,,
8/1/1959,0.592,,,,,,
9/1/1959,0.593,,,,,,
10/1/1959,0.594,,,,,,
11/1/1959,0.591,,,,,,
12/1/1959,0.595,,,,,,
1/1/1960,0.591,,,,,,
2/1/1960,0.591,,,,,,
3/1/1960,0.585,,,,,,
4/1/1960,0.595,,,,,,
5/1/1960,0.595,,,,,,
6/1/1960,0.597,,,,,,
7/1/1960,0.595,,,,,,
8/1/1960,0.595,,,,,,
9/1/1960,0.597,,,,,,
10/1/1960,0.594,,,,,,
11/1/1960,0.598,,,,,,
12/1/1960,0.597,,,,,,
1/1/1961,0.596,,,,,,
2/1/1961,0.596,,,,,,
3/1/1961,0.597,,,,,,
4/1/1961,0.593,,,,,,
5/1/1961,0.594,,,,,,
6/1/1961,0.597,,,,,,
7/1/1961,0.593,,,,,,
8/1/1961,0.593,,,,,,
9/1/1961,0.590,,,,,,
10/1/1961,0.591,,,,,,
11/1/1961,0.591,,,,,,
12/1/1961,0.588,,,,,,
1/1/1962,0.588,,,,,,
2/1/1962,0.590,,,,,,
3/1/1962,0.589,,,,,,
4/1/1962,0.587,,,,,,
5/1/1962,0.589,,,,,,
6/1/1962,0.588,,,,,,
7/1/1962,0.585,,,,,,
8/1/1962,0.590,,,,,,
9/1/1962,0.590,,,,,,
10/1/1962,0.587,,,,,,
11/1/1962,0.585,,,,,,
12/1/1962,0.584,,,,,,
1/1/1963,0.586,,,,,,
2/1/1963,0.586,,,,,,
3/1/1963,0.586,,,,,,
4/1/1963,0.588,,,,,,
5/1/1963,0.588,,,,,,
6/1/1963,0.585,,,,,,
7/1/1963,0.587,,,,,,
8/1/1963,0.585,,,,,,
9/1/1963,0.587,,,,,,
10/1/1963,0.588,,,,,,
11/1/1963,0.588,,,,,,
12/1/1963,0.585,,,,,,
1/1/1964,0.586,,,,,,
2/1/1964,0.588,,,,,,
3/1/1964,0.587,,,,,,
4/1/1964,0.591,,,,,,
5/1/1964,0.591,,,,,,
6/1/1964,0.587,,,,,,
7/1/1964,0.586,,,,,,
8/1/1964,0.586,,,,,,
