Date,series1,name,name_x,name_y
3/31/1947,0.6580000,Share of Labour Compensation in GDP,1/1/2017,0.5626356
6/30/1947,0.6488863,,,
9/30/1947,0.6592128,,,
12/31/1947,0.6499767,,,
3/31/1948,0.6511195,,,
6/30/1948,0.6509621,,,
9/30/1948,0.6507988,,,
12/31/1948,0.6454169,,,
3/31/1949,0.6473703,,,
6/30/1949,0.6485889,,,
9/30/1949,0.6363382,,,
12/31/1949,0.6399417,,,
3/31/1950,0.6326064,,,
6/30/1950,0.6362741,,,
9/30/1950,0.6280058,,,
12/31/1950,0.6295394,,,
3/31/1951,0.6264665,,,
6/30/1951,0.6338309,,,
9/30/1951,0.6227289,,,
12/31/1951,0.6288105,,,
3/31/1952,0.6316910,,,
6/30/1952,0.6368980,,,
9/30/1952,0.6406064,,,
12/31/1952,0.6388047,,,
3/31/1953,0.6400117,,,
6/30/1953,0.6417026,,,
9/30/1953,0.6433994,,,
12/31/1953,0.6511720,,,
3/31/1954,0.6534227,,,
6/30/1954,0.6486064,,,
9/30/1954,0.6429504,,,
12/31/1954,0.6391312,,,
3/31/1955,0.6283907,,,
6/30/1955,0.6294052,,,
9/30/1955,0.6318134,,,
12/31/1955,0.6335977,,,
3/31/1956,0.6453644,,,
6/30/1956,0.6506647,,,
9/30/1956,0.6523615,,,
12/31/1956,0.6523265,,,
3/31/1957,0.6468280,,,
6/30/1957,0.6519067,,,
9/30/1957,0.6480058,,,
12/31/1957,0.6529504,,,
3/31/1958,0.6598776,,,
6/30/1958,0.6522682,,,
9/30/1958,0.6517493,,,
12/31/1958,0.6406006,,,
3/31/1959,0.6432478,,,
6/30/1959,0.6396443,,,
9/30/1959,0.6422157,,,
12/31/1959,0.6462682,,,
3/31/1960,0.6444723,,,
6/30/1960,0.6560466,,,
9/30/1960,0.6555160,,,
12/31/1960,0.6643615,,,
3/31/1961,0.6610787,,,
6/30/1961,0.6504373,,,
9/30/1961,0.6459125,,,
12/31/1961,0.6442857,,,
3/31/1962,0.6409213,,,
6/30/1962,0.6439417,,,
9/30/1962,0.6393936,,,
12/31/1962,0.6403965,,,
3/31/1963,0.6412128,,,
6/30/1963,0.6377901,,,
9/30/1963,0.6311020,,,
12/31/1963,0.6344840,,,
3/31/1964,0.6266472,,,
6/30/1964,0.6274052,,,
9/30/1964,0.6277434,,,
12/31/1964,0.6360058,,,
3/31/1965,0.6271487,,,
6/30/1965,0.6267522,,,
9/30/1965,0.6196443,,,
12/31/1965,0.6154169,,,
3/31/1966,0.6156093,,,
6/30/1966,0.6226706,,,
9/30/1966,0.6259067,,,
12/31/1966,0.6228571,,,
3/31/1967,0.6229738,,,
6/30/1967,0.6270379,,,
9/30/1967,0.6275685,,,
12/31/1967,0.6278542,,,
3/31/1968,0.6241633,,,
6/30/1968,0.6215219,,,
9/30/1968,0.6278426,,,
12/31/1968,0.6326764,,,
3/31/1969,0.6288863,,,
6/30/1969,0.6370379,,,
9/30/1969,0.6417026,,,
12/31/1969,0.6502682,,,
3/31/1970,0.6532536,,,
6/30/1970,0.6441808,,,
9/30/1970,0.6415918,,,
