Date,series1,series2,series3,series4,name,name_x,name_y
1977 , 0.000029368 ,,,,Listed/Population,2016 , 0.000017002 
1978 , 0.000028309 ,,,,,,
1979 , 0.000027438 ,,,,,,
1980 , 0.000027895 ,,,,,,
1981 , 0.000029603 ,,,,,,
1982 , 0.000028863 ,,,,,,
1983 , 0.000031824 ,,,,,,
1984 , 0.000032091 ,,,,,,
1985 , 0.000031545 ,,,,,,
1986 , 0.000032664 ,,,,,,
1987 , 0.000033880 ,,,,,,
1988 , 0.000036030 ,,,,,,
1989 , 0.000035942 ,,,,,,
1990 , 0.000034728 ,,,,,,
1991 , 0.000033958 ,,,,,,
1992 , 0.000033862 ,,,,,,
1993 , 0.000035302 ,,,,,,
1994 , 0.000036685 ,,,,,,
1995 , 0.000037527 ,,,,,,
1996 , 0.000039799 ,,,,,,
1997 , 0.000038731 ,,,,,,
1998 , 0.000036355 ,,,,,,
1999 , 0.000034616 ,,,,,,
2000 , 0.000032362 ,,,,,,
2001 , 0.000028556 ,,,,,,
2002 , 0.000025990 ,,,,,,
2003 , 0.000023797 ,,,,,,
2004 , 0.000023264 ,,,,,,
2005 , 0.000022623 ,,,,,,
2006 , 0.000022307 ,,,,,,
2007 , 0.000021912 ,,,,,,
2008 , 0.000019852 ,,,,,,
2009 , 0.000018576 ,,,,,,
2010 , 0.000017912 ,,,,,,
2011 , 0.000017337 ,,,,,,
2012 , 0.000016787 ,,,,,,
2013 , 0.000016941 ,,,,,,
2014 , 0.000017544 ,,,,,,
2015 , 0.000017389 ,,,,,,
