Date,series1,series2,series3,name,name_x,name_y
1955,0.2000,0.2000,0.2000,Median Famliy Marginal Income Rate,1/1/15,0.15
1956,0.2000,0.2000,0.2000,Median Famliy Marginal Income + Employee Rate,1/1/15,0.23
1957,0.2000,0.2000,0.2000,Median Famliy Marginal Income + Employee +Employer Rate,1/1/15,0.30
1958,0.2000,0.2000,0.2000,>,,
1959,0.2000,0.2000,0.2000,15%,1/1/15,0.15
1960,0.2000,0.2000,0.2000,23%,1/1/15,0.23
1961,0.2000,0.2000,0.2000,30%,1/1/15,0.30
1962,0.2000,0.2000,0.2000,>,,
1963,0.2000,0.2000,0.2000,,,
1964,0.1800,0.1800,0.1800,,,
1965,0.1700,0.1700,0.1700,,,
1966,0.1900,0.1900,0.1900,,,
1967,0.1900,0.1900,0.1900,,,
1968,0.2042,0.2042,0.2042,,,
1969,0.2090,0.2090,0.2090,,,
1970,0.1948,0.1948,0.1948,,,
1971,0.1900,0.1900,0.1900,,,
1972,0.1900,0.1900,0.1900,,,
1973,0.1900,0.1900,0.1900,,,
1974,0.2200,0.2200,0.2200,,,
1975,0.2200,0.2200,0.2200,,,
1976,0.2200,0.2200,0.2200,,,
1977,0.2200,0.2200,0.2200,,,
1978,0.2500,0.2500,0.2500,,,
1979,0.2400,0.3013,0.3626,,,
1980,0.2400,0.3013,0.3626,,,
1981,0.2370,0.3035,0.3700,,,
1982,0.2500,0.3170,0.3840,,,
1983,0.2300,0.2970,0.3640,,,
1984,0.2200,0.2870,0.3540,,,
1985,0.2200,0.2905,0.3610,,,
1986,0.2200,0.2915,0.3630,,,
1987,0.1500,0.2215,0.2930,,,
1988,0.1500,0.2251,0.3002,,,
1989,0.1500,0.2251,0.3002,,,
1990,0.1500,0.2265,0.3030,,,
1991,0.1500,0.2265,0.3030,,,
1992,0.1500,0.2265,0.3030,,,
1993,0.1500,0.2265,0.3030,,,
1994,0.1500,0.2265,0.3030,,,
1995,0.1500,0.2265,0.3030,,,
1996,0.1500,0.2265,0.3030,,,
1997,0.1500,0.2265,0.3030,,,
1998,0.1500,0.2265,0.3030,,,
1999,0.1500,0.2265,0.3030,,,
2000,0.1500,0.2265,0.3030,,,
2001,0.1500,0.2265,0.3030,,,
2002,0.1500,0.2265,0.3030,,,
2003,0.1500,0.2265,0.3030,,,
2004,0.1500,0.2265,0.3030,,,
2005,0.1500,0.2265,0.3030,,,
2006,0.1500,0.2265,0.3030,,,
2007,0.1500,0.2265,0.3030,,,
2008,0.1500,0.2265,0.3030,,,
2009,0.1500,0.2265,0.3030,,,
2010,0.1500,0.2265,0.3030,,,
2011,0.1500,0.2065,0.2830,,,
2012,0.1500,0.2065,0.2830,,,
2013,0.1500,0.2265,0.3030,,,
2014,0.1500,0.2265,0.3030,,,
,,,,,,
