Date,series1,series2,series3,series4,name,name_x,name_y,
1916,0.02,0.15,0,,Corp Tax,1/1/16,0.35,
1917,0.06,0.67,0,,Long Term Gains,1/1/16,0.2,
1918,0.12,0.77,0,,Dividends,1/1/16,0.2,
1919,0.1,0.73,0,,Net Investment,1/1/16,0.038,
1920,0.1,0.73,0,,40%,1/1/15,0.35,
1921,0.1,0.73,0,,48%,1/1/15,0.2,
1922,0.125,0.125,0,,48%,1/1/15,0.2,
1923,0.125,0.125,0,,,,,
1924,0.125,0.125,0,,,,,
1925,0.13,0.125,0,,,,,
1926,0.135,0.125,0,,,,,
1927,0.135,0.125,0,,,,,
1928,0.12,0.125,0,,,,,
1929,0.11,0.125,0,,,,,
1930,0.12,0.125,0,,,,,
1931,0.12,0.125,0,,,,,
1932,0.1375,0.125,0,,,,,
1933,0.1375,0.315,0,,,,,
1934,0.1375,0.315,0,,,,,
1935,0.1375,0.315,0,,,,,
1936,0.15,0.39,0.78,,,,,
1937,0.15,0.39,0.78,,,,,
1938,0.19,0.3,0.78,,,,,
1939,0.19,0.3,0.78,,,,,
1940,0.24,0.3,0,,,,,
1941,0.31,0.3,0,,,,,
1942,0.4,0.25,0,,,,,
1943,0.4,0.25,0,,,,,
1944,0.4,0.25,0,,,,,
1945,0.4,0.25,0,,,,,
1946,0.38,0.25,0,,,,,
1947,0.38,0.25,0,,,,,
1948,0.38,0.25,0,,,,,
1949,0.38,0.25,0,,,,,
1950,0.42,0.25,0,,,,,
1951,0.5075,0.25,0,,,,,
1952,0.52,0.25,0,,,,,
1953,0.52,0.25,0.91,,,,,
1954,0.52,0.25,0.91,,,,,
1955,0.52,0.25,0.91,,,,,
1956,0.52,0.25,0.91,,,,,
1957,0.52,0.25,0.91,,,,,
1958,0.52,0.25,0.91,,,,,
1959,0.52,0.25,0.91,,,,,
1960,0.52,0.25,0.91,,,,,
1961,0.52,0.25,0.91,,,,,
1962,0.52,0.25,0.91,,,,,
1963,0.52,0.25,0.91,,,,,
1964,0.5,0.25,0.91,,,,,
1965,0.48,0.25,0.7,,,,,
1966,0.48,0.25,0.7,,,,,
1967,0.48,0.25,0.7,,,,,
1968,0.528,0.269,0.753,,,,,
1969,0.528,0.275,0.77,,,,,
1970,0.492,0.323,0.7175,,,,,
1971,0.48,0.343,0.7,,,,,
1972,0.48,0.365,0.7,,,,,
1973,0.48,0.365,0.7,,,,,
1974,0.48,0.365,0.7,,,,,
1975,0.48,0.365,0.7,,,,,
1976,0.48,0.39,0.7,,,,,
1977,0.48,0.39,0.7,,,,,
1978,0.48,0.39,0.7,,,,,
1979,0.46,0.28,0.7,,,,,
1980,0.46,0.28,0.7,,,,,
1981,0.46,0.237,0.7,,,,,
1982,0.46,0.2,0.5,,,,,
1983,0.46,0.2,0.5,,,,,
1984,0.46,0.2,0.5,,,,,
1985,0.46,0.2,0.5,,,,,
1986,0.46,0.2,0.5,,,,,
1987,0.4,0.28,0.385,,,,,
1988,0.34,0.33,0.28,,,,,
1989,0.34,0.33,0.28,,,,,
1990,0.34,0.33,0.28,,,,,
1991,0.34,0.289,0.31,,,,,
1992,0.34,0.289,0.31,,,,,
1993,0.35,0.292,0.4,,,,,
1994,0.35,0.292,0.4,,,,,
1995,0.35,0.292,0.4,,,,,
1996,0.35,0.292,0.4,,,,,
1997,0.35,0.212,0.4,,,,,
1998,0.35,0.212,0.4,,,,,
1999,0.35,0.212,0.4,,,,,
2000,0.35,0.212,0.4,,,,,
2001,0.35,0.212,0.391,,,,,
2002,0.35,0.212,0.386,,,,,
2003,0.35,0.161,0.15,,,,,
2004,0.35,0.161,0.15,,,,,
2005,0.35,0.161,0.15,,,,,
2006,0.35,0.157,0.15,,,,,
2007,0.35,0.157,0.15,,,,,
2008,0.35,0.154,0.15,,,,,
2009,0.35,0.154,0.15,,,,,
2010,0.35,0.15,0.15,,,,,
2011,0.35,0.15,0.15,,,,,
2012,0.35,0.15,0.15,0,,,,
2013,0.35,0.2,0.2,0.038,,,,
2014,0.35,0.2,0.2,0.038,,,,
2015,0.35,0.2,0.2,0.038,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
