Date,series1,series2,,,name,name_x,name_y,
1916,0.15,0,,,Income,1/1/16,0.396,
1917,0.67,0,,,medicare,1/1/16,0.038,
1918,0.77,0,,,0.396,1/1/15,0.396,
1919,0.73,0,,,0.038,1/1/15,0.038,
1920,0.73,0,,,,,,
1921,0.73,0,,,,,,
1922,0.58,0,,,,,,
1923,0.435,0,,,,,,
1924,0.46,0,,,,,,
1925,0.25,0,,,,,,
1926,0.25,0,,,,,,
1927,0.25,0,,,,,,
1928,0.25,0,,,,,,
1929,0.24,0,,,,,,
1930,0.25,0,,,,,,
1931,0.25,0,,,,,,
1932,0.63,0,,,,,,
1933,0.63,0,,,,,,
1934,0.63,0,,,,,,
1935,0.63,0,,,,,,
1936,0.79,0,,,,,,
1937,0.79,0,,,,,,
1938,0.79,0,,,,,,
1939,0.79,0,,,,,,
1940,0.811,0,,,,,,
1941,0.81,0,,,,,,
1942,0.88,0,,,,,,
1943,0.88,0,,,,,,
1944,0.94,0,,,,,,
1945,0.94,0,,,,,,
1946,0.8645,0,,,,,,
1947,0.8645,0,,,,,,
1948,0.8213,0,,,,,,
1949,0.8213,0,,,,,,
1950,0.8436,0,,,,,,
1951,0.91,0,,,,,,
1952,0.92,0,,,,,,
1953,0.92,0,,,,,,
1954,0.91,0,,,,,,
1955,0.91,0,,,,,,
1956,0.91,0,,,,,,
1957,0.91,0,,,,,,
1958,0.91,0,,,,,,
1959,0.91,0,,,,,,
1960,0.91,0,,,,,,
1961,0.91,0,,,,,,
1962,0.91,0,,,,,,
1963,0.91,0,,,,,,
1964,0.77,0,,,,,,
1965,0.7,0,,,,,,
1966,0.7,0,,,,,,
1967,0.7,0,,,,,,
1968,0.7525,0,,,,,,
1969,0.77,0,,,,,,
1970,0.7175,0,,,,,,
1971,0.6,0,,,,,,
1972,0.5,0,,,,,,
1973,0.5,0,,,,,,
1974,0.5,0,,,,,,
1975,0.5,0,,,,,,
1976,0.5,0,,,,,,
1977,0.5,0,,,,,,
1978,0.5,0,,,,,,
1979,0.5,0,,,,,,
1980,0.5,0,,,,,,
1981,0.5,0,,,,,,
1982,0.5,0,,,,,,
1983,0.5,0,,,,,,
1984,0.5,0,,,,,,
1985,0.5,0,,,,,,
1986,0.5,0,,,,,,
1987,0.385,0,,,,,,
1988,0.28,0,,,,,,
1989,0.28,0,,,,,,
1990,0.28,0,,,,,,
1991,0.31,0,,,,,,
