Date,series1,series2,series3,series4,name,name_x,name_y,
1916,0.02,0.15,0.584730604,0.057142857,Corp Tax,1/1/16,0.35,
1917,0.06,0.67,0.515485586,0.101470588,Long Term Gains,1/1/16,0.2,
1918,0.12,0.77,0.491612367,0.072151899,Payout (4-years),1/1/16,0.374121024,
1919,0.1,0.73,0.489475748,0.05941704,Dividend yield,1/1/16,0.021123812,
1920,0.1,0.73,0.531028816,0.074889868,40%,1/1/15,0.35,
1921,0.1,0.73,0.625379265,0.062927497,48%,1/1/15,0.2,
1922,0.125,0.125,0.711604096,0.05808656,48%,1/1/15,0.2,
1923,0.125,0.125,0.729829756,0.061988304,,,,
1924,0.125,0.125,0.71594995,0.054133858,,,,
1925,0.13,0.125,0.630186848,0.048154093,,,,
1926,0.135,0.125,0.55404736,0.051148999,,,,
1927,0.135,0.125,0.55889137,0.044100802,,,,
1928,0.12,0.125,0.580949927,0.036717063,,,,
1929,0.11,0.125,0.598658248,0.045327103,,,,
1930,0.12,0.125,0.659718398,0.063185042,,,,
1931,0.12,0.125,0.748479531,0.097156398,,,,
1932,0.1375,0.125,0.841730943,0.073313783,,,,
1933,0.1375,0.315,0.988173633,0.044132397,,,,
1934,0.1375,0.315,1.126064421,0.048596112,,,,
1935,0.1375,0.315,0.948781417,0.036042945,,,,
1936,0.15,0.39,0.773557222,0.042203986,,,,
1937,0.15,0.39,0.697446971,0.072595281,,,,
1938,0.19,0.3,0.703926097,0.040189125,,,,
1939,0.19,0.3,0.721438325,0.050121261,,,,
1940,0.24,0.3,0.716122004,0.06362773,,,,
1941,0.31,0.3,0.698158702,0.081050228,,,,
1942,0.4,0.25,0.649350649,0.06197479,,,,
1943,0.4,0.25,0.616582364,0.053135889,,,,
1944,0.4,0.25,0.626467699,0.048854962,,,,
1945,0.4,0.25,0.638175507,0.038084247,,,,
1946,0.38,0.25,0.661674836,0.046926636,,,,
1947,0.38,0.25,0.646558429,0.055888224,,,,
1948,0.38,0.25,0.569546836,0.06122449,,,,
1949,0.38,0.25,0.506953123,0.068923821,,,,
1950,0.42,0.25,0.475636466,0.07443038,,,,
1951,0.5075,0.25,0.490297568,0.060230671,,,,
1952,0.52,0.25,0.522038366,0.054147465,,,,
1953,0.52,0.25,0.55577141,0.0583971,,,,
1954,0.52,0.25,0.573824426,0.044037747,,,,
1955,0.52,0.25,0.552100008,0.036147234,,,,
1956,0.52,0.25,0.526290434,0.0374677,,,,
1957,0.52,0.25,0.51379839,0.044383833,,,,
1958,0.52,0.25,0.519367834,0.032716396,,,,
1959,0.52,0.25,0.530340253,0.030985439,,,,
1960,0.52,0.25,0.554288578,0.034330986,,,,
1961,0.52,0.25,0.584740864,0.028157234,,,,
1962,0.52,0.25,0.589606515,0.034003831,,,,
1963,0.52,0.25,0.59350464,0.030740191,,,,
1964,0.5,0.25,0.584243499,0.029776084,,,,
1965,0.48,0.25,0.562313951,0.02965224,,,,
1966,0.48,0.25,0.543347221,0.035288331,,,,
1967,0.48,0.25,0.537472356,0.030640084,,,,
1968,0.528,0.269,0.534468807,0.028826291,,,,
1969,0.528,0.275,0.533880526,0.03468335,,,,
1970,0.492,0.323,0.548091043,0.034869517,,,,
1971,0.48,0.343,0.557225264,0.030956943,,,,
1972,0.48,0.365,0.549812977,0.026808511,,,,
1973,0.48,0.365,0.521368965,0.035661532,,,,
1974,0.48,0.365,0.473799127,0.053675265,,,,
1975,0.48,0.365,0.449685962,0.041488162,,,,
1976,0.48,0.39,0.428476512,0.038681948,,,,
1977,0.48,0.39,0.421969368,0.049776167,,,,
1978,0.48,0.39,0.428616248,0.052752055,,,,
1979,0.46,0.28,0.411402939,0.052411874,,,,
1980,0.46,0.28,0.406428279,0.046142322,,,,
1981,0.46,0.237,0.409985028,0.05355412,,,,
1982,0.46,0.2,0.423247598,0.04928264,,,,
1983,0.46,0.2,0.457248059,0.043126521,,,,
1984,0.46,0.2,0.473134328,0.045775076,,,,
1985,0.46,0.2,0.490900483,0.038109021,,,,
1986,0.46,0.2,0.510082988,0.033306516,,,,
1987,0.4,0.28,0.514157321,0.036556017,,,,
1988,0.34,0.33,0.50239141,0.035262206,,,,
1989,0.34,0.33,0.481924964,0.031726908,,,,
1990,0.34,0.33,0.484181089,0.036775665,,,,
1991,0.34,0.289,0.505572809,0.031402023,,,,
1992,0.34,0.289,0.562879943,0.028440915,,,,
1993,0.35,0.292,0.620133389,0.026998605,,,,
1994,0.35,0.292,0.606345803,0.028932973,,,,
1995,0.35,0.292,0.530668656,0.022438453,,,,
1996,0.35,0.292,0.464504983,0.02004709,,,,
1997,0.35,0.212,0.415526447,0.016106071,,,,
1998,0.35,0.212,0.398315343,0.013612873,,,,
1999,0.35,0.212,0.396676361,0.011682112,,,,
2000,0.35,0.212,0.372574876,0.012224535,,,,
2001,0.35,0.212,0.38560119,0.013747565,,,,
2002,0.35,0.212,0.414406041,0.017871839,,,,
2003,0.35,0.161,0.427449671,0.016092316,,,,
2004,0.35,0.161,0.429657675,0.016210672,,,,
2005,0.35,0.161,0.396871954,0.017605996,,,,
2006,0.35,0.157,0.346624072,0.017565411,,,,
2007,0.35,0.157,0.326514807,0.018746366,,,,
2008,0.35,0.154,0.371978157,0.032351064,,,,
2009,0.35,0.154,0.469183853,0.02018228,,,,
2010,0.35,0.15,0.480729476,0.018308055,,,,
2011,0.35,0.15,0.466561093,0.021257601,,,,
2012,0.35,0.15,0.402602176,0.021971609,,,,
2013,0.35,0.2,0.330658445,0.019355231,,,,
2014,0.35,0.2,0.338052658,0.019199034,,,,
2015,0.35,0.2,0.374121024,0.021123812,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
