Date,series1,series2,series3,series4,name,name_x,name_y,
1916,0.15,0.167,0.02,0.02,Unearned Income,1/1/16,0.396,
1917,0.67,0.6898,0.06,0.06,Corp and Long Term Gains,1/1/16,0.48,
1918,0.77,0.7976,0.12,0.12,Corp and Dividends,1/1/16,0.48,
1919,0.73,0.757,0.1,0.1,Min Tax Rate,1/1/16,0.396,
1920,0.73,0.757,0.1,0.1,40%,1/1/15,0.396,
1921,0.73,0.757,0.1,0.1,48%,1/1/15,0.48,
1922,0.58,0.234375,0.125,0.125,48%,1/1/15,0.48,
1923,0.435,0.234375,0.125,0.125,40%,1/1/15,0.396,
1924,0.46,0.234375,0.125,0.125,,,,
1925,0.25,0.23875,0.13,0.13,,,,
1926,0.25,0.243125,0.135,0.135,,,,
1927,0.25,0.243125,0.135,0.135,,,,
1928,0.25,0.23,0.12,0.12,,,,
1929,0.24,0.22125,0.11,0.11,,,,
1930,0.25,0.23,0.12,0.12,,,,
1931,0.25,0.23,0.12,0.12,,,,
1932,0.63,0.2453125,0.1375,0.1375,,,,
1933,0.63,0.4091875,0.1375,0.1375,,,,
1934,0.63,0.4091875,0.1375,0.1375,,,,
1935,0.63,0.4091875,0.1375,0.1375,,,,
1936,0.79,0.4815,0.813,0.4815,,,,
1937,0.79,0.4815,0.813,0.4815,,,,
1938,0.79,0.433,0.8218,0.433,,,,
1939,0.79,0.433,0.8218,0.433,,,,
1940,0.811,0.468,0.24,0.24,,,,
1941,0.81,0.517,0.31,0.31,,,,
1942,0.88,0.55,0.4,0.4,,,,
1943,0.88,0.55,0.4,0.4,,,,
1944,0.94,0.55,0.4,0.4,,,,
1945,0.94,0.55,0.4,0.4,,,,
1946,0.8645,0.535,0.38,0.38,,,,
1947,0.8645,0.535,0.38,0.38,,,,
1948,0.8213,0.535,0.38,0.38,,,,
1949,0.8213,0.535,0.38,0.38,,,,
1950,0.8436,0.565,0.42,0.42,,,,
1951,0.91,0.630625,0.5075,0.5075,,,,
1952,0.92,0.64,0.52,0.52,,,,
1953,0.92,0.64,0.9568,0.64,,,,
1954,0.91,0.64,0.9568,0.64,,,,
1955,0.91,0.64,0.9568,0.64,,,,
1956,0.91,0.64,0.9568,0.64,,,,
1957,0.91,0.64,0.9568,0.64,,,,
1958,0.91,0.64,0.9568,0.64,,,,
1959,0.91,0.64,0.9568,0.64,,,,
1960,0.91,0.64,0.9568,0.64,,,,
1961,0.91,0.64,0.9568,0.64,,,,
1962,0.91,0.64,0.9568,0.64,,,,
1963,0.91,0.64,0.9568,0.64,,,,
1964,0.77,0.625,0.955,0.625,,,,
1965,0.7,0.61,0.844,0.61,,,,
1966,0.7,0.61,0.844,0.61,,,,
1967,0.7,0.61,0.844,0.61,,,,
1968,0.7525,0.654968,0.883416,0.654968,,,,
1969,0.77,0.6578,0.89144,0.6578,,,,
1970,0.7175,0.656084,0.85649,0.656084,,,,
1971,0.7,0.65836,0.844,0.65836,,,,
1972,0.7,0.6698,0.844,0.6698,,,,
1973,0.7,0.6698,0.844,0.6698,,,,
1974,0.7,0.6698,0.844,0.6698,,,,
1975,0.7,0.6698,0.844,0.6698,,,,
1976,0.7,0.6828,0.844,0.6828,,,,
1977,0.7,0.6828,0.844,0.6828,,,,
1978,0.7,0.6828,0.844,0.6828,,,,
1979,0.7,0.6112,0.838,0.6112,,,,
1980,0.7,0.6112,0.838,0.6112,,,,
1981,0.7,0.58798,0.838,0.58798,,,,
1982,0.5,0.568,0.73,0.5,,,,
1983,0.5,0.568,0.73,0.5,,,,
1984,0.5,0.568,0.73,0.5,,,,
1985,0.5,0.568,0.73,0.5,,,,
1986,0.5,0.568,0.73,0.5,,,,
1987,0.385,0.568,0.631,0.385,,,,
1988,0.28,0.5578,0.5248,0.28,,,,
1989,0.28,0.5578,0.5248,0.28,,,,
1990,0.28,0.5578,0.5248,0.28,,,,
1991,0.31,0.53074,0.5446,0.31,,,,
1992,0.31,0.53074,0.5446,0.31,,,,
1993,0.396,0.5398,0.61,0.396,,,,
1994,0.396,0.5398,0.61,0.396,,,,
1995,0.396,0.5398,0.61,0.396,,,,
1996,0.396,0.5398,0.61,0.396,,,,
1997,0.396,0.4878,0.61,0.396,,,,
1998,0.396,0.4878,0.61,0.396,,,,
1999,0.396,0.4878,0.61,0.396,,,,
2000,0.396,0.4878,0.61,0.396,,,,
2001,0.391,0.4878,0.60415,0.391,,,,
2002,0.386,0.4878,0.6009,0.386,,,,
2003,0.35,0.45465,0.4475,0.35,,,,
2004,0.35,0.45465,0.4475,0.35,,,,
2005,0.35,0.45465,0.4475,0.35,,,,
2006,0.35,0.45205,0.4475,0.35,,,,
2007,0.35,0.45205,0.4475,0.35,,,,
2008,0.35,0.4501,0.4475,0.35,,,,
2009,0.35,0.4501,0.4475,0.35,,,,
2010,0.35,0.4475,0.4475,0.35,,,,
2011,0.35,0.4475,0.4475,0.35,,,,
2012,0.35,0.4475,0.4475,0.35,,,,
2013,0.434,0.5047,0.5047,0.434,,,,
2014,0.434,0.5047,0.5047,0.434,,,,
2015,0.434,0.5047,0.5047,0.434,,,,
