Date,series2,series1,name,name_x,name_y
1980,,1.0000,C Corporations,2012,1
1981,,1.0000,LLC,2012,0.3099
1982,,1.0000,,,
1983,,1.0000,,,
1984,,1.0000,,,
1985,,1.0000,,,
1986,,1.0000,,,
1987,,1.0000,,,
1988,,1.0000,,,
1989,,1.0000,,,
1990,,1.0000,,,
1991,,1.0000,,,
1992,,1.0000,,,
1993,0.2600,1.0000,,,
1994,0.2465,1.0000,,,
1995,0.2562,1.0000,,,
1996,0.2523,1.0000,,,
1997,0.2751,1.0000,,,
1998,0.2806,1.0000,,,
1999,0.3082,1.0000,,,
2000,0.3101,1.0000,,,
2001,0.3122,1.0000,,,
2002,0.3113,1.0000,,,
2003,0.2989,1.0000,,,
2004,0.2893,1.0000,,,
2005,0.2623,1.0000,,,
2006,0.2987,1.0000,,,
2007,0.3307,1.0000,,,
2008,0.3360,1.0000,,,
2009,0.3255,1.0000,,,
2010,0.3139,1.0000,,,
2011,0.3176,1.0000,,,
2012,0.3099,1.0000,,,
