Date,series2,series1,name,name_x,name_y
1980,,1.0000,C Corporations,2012,1
1981,,1.0000,LLC,2012,0.7865
1982,,1.0000,,,
1983,,1.0000,,,
1984,,1.0000,,,
1985,,1.0000,,,
1986,,1.0000,,,
1987,,1.0000,,,
1988,,1.0000,,,
1989,,1.0000,,,
1990,,1.0000,,,
1991,,1.0000,,,
1992,,1.0000,,,
1993,0.7459,1.0000,,,
1994,0.7371,1.0000,,,
1995,0.7363,1.0000,,,
1996,0.7395,1.0000,,,
1997,0.7416,1.0000,,,
1998,0.7419,1.0000,,,
1999,0.7435,1.0000,,,
2000,0.7452,1.0000,,,
2001,0.7482,1.0000,,,
2002,0.7522,1.0000,,,
2003,0.7572,1.0000,,,
2004,0.7622,1.0000,,,
2005,0.7673,1.0000,,,
2006,0.7685,1.0000,,,
2007,0.7777,1.0000,,,
2008,0.7760,1.0000,,,
2009,0.7786,1.0000,,,
2010,0.7830,1.0000,,,
2011,0.7854,1.0000,,,
2012,0.7865,1.0000,,,
