Date,series1,series2,series3,series4,name,name_x,name_y
1929,0.74,0.094,0.321,0.325,Personnal Consumption,2016,0.687
1930,0.761,0.083,0.347,0.331,Durable Goods,2016,0.076
1931,0.784,0.076,0.374,0.333,Services,2016,0.466
1932,0.818,0.066,0.413,0.339,Nondurable Goods,2016,0.145
1933,0.804,0.066,0.388,0.35,,,
1934,0.77,0.068,0.344,0.358,,,
1935,0.753,0.074,0.327,0.352,,,
1936,0.733,0.08,0.309,0.344,,,
1937,0.718,0.079,0.306,0.333,,,
1938,0.735,0.07,0.323,0.342,,,
1939,0.719,0.077,0.313,0.329,,,
1940,0.692,0.081,0.298,0.314,,,
1941,0.627,0.079,0.26,0.287,,,
1942,0.536,0.046,0.229,0.261,,,
1943,0.492,0.037,0.214,0.241,,,
1944,0.484,0.034,0.214,0.235,,,
1945,0.526,0.04,0.229,0.256,,,
1946,0.633,0.075,0.255,0.303,,,
1947,0.648,0.087,0.25,0.31,,,
1948,0.637,0.089,0.246,0.302,,,
1949,0.654,0.098,0.258,0.299,,,
1950,0.64,0.108,0.251,0.281,,,
1951,0.6,0.091,0.241,0.268,,,
1952,0.597,0.085,0.247,0.265,,,
1953,0.598,0.089,0.252,0.257,,,
1954,0.613,0.086,0.266,0.261,,,
1955,0.607,0.096,0.261,0.25,,,
1956,0.603,0.089,0.265,0.249,,,
1957,0.604,0.089,0.268,0.248,,,
1958,0.614,0.082,0.279,0.253,,,
1959,0.608,0.086,0.277,0.244,,,
1960,0.61,0.084,0.284,0.242,,,
1961,0.607,0.078,0.29,0.239,,,
1962,0.6,0.082,0.288,0.231,,,
1963,0.599,0.085,0.289,0.225,,,
1964,0.6,0.087,0.29,0.223,,,
1965,0.596,0.089,0.288,0.22,,,
1966,0.59,0.088,0.283,0.218,,,
1967,0.589,0.086,0.288,0.215,,,
1968,0.591,0.09,0.289,0.212,,,
1969,0.593,0.089,0.294,0.21,,,
1970,0.602,0.084,0.306,0.213,,,
1971,0.6,0.088,0.307,0.205,,,
1972,0.6,0.091,0.308,0.201,,,
1973,0.596,0.091,0.304,0.2,,,
1974,0.602,0.084,0.31,0.207,,,
1975,0.611,0.084,0.321,0.207,,,
1976,0.613,0.09,0.322,0.201,,,
1977,0.612,0.092,0.324,0.196,,,
1978,0.605,0.091,0.324,0.191,,,
1979,0.604,0.086,0.324,0.194,,,
1980,0.613,0.079,0.334,0.2,,,
