Date,series1,series2,series3,series4,name,name_x,name_y
12/21/1916,,,,,Services,2016,0.687
12/22/1917,,,,,Nondurable,2016,0.221
12/23/1918,,,,,Durable,2016,0.076
12/24/1919,,,,,Net Savings,2016,0.029
12/24/1920,,,,,,,
12/25/1921,,,,,,,
12/26/1922,,,,,,,
12/27/1923,,,,,,,
12/27/1924,,,,,,,
12/28/1925,,,,,,,
12/29/1926,,,,,,,
12/30/1927,,,,,,,
12/30/1928,,,,,,,
12/31/1929,0.74,0.419,0.094,0.093,,,
12/31/1930,0.761,0.414,0.083,0.06,,,
12/31/1931,0.783,0.409,0.076,-0.005,,,
12/30/1932,0.818,0.405,0.066,-0.073,,,
12/31/1933,0.804,0.416,0.066,-0.071,,,
12/31/1934,0.77,0.426,0.068,-0.021,,,
12/31/1935,0.753,0.426,0.074,0.026,,,
12/30/1936,0.733,0.424,0.08,0.042,,,
12/31/1937,0.718,0.412,0.079,0.079,,,
12/31/1938,0.735,0.412,0.07,0.031,,,
12/31/1939,0.719,0.406,0.077,0.048,,,
12/30/1940,0.693,0.395,0.081,0.087,,,
12/31/1941,0.626,0.366,0.079,0.147,,,
12/31/1942,0.536,0.307,0.046,0.16,,,
12/31/1943,0.492,0.278,0.037,0.141,,,
12/30/1944,0.483,0.269,0.034,0.097,,,
12/31/1945,0.525,0.296,0.04,0.042,,,
12/31/1946,0.633,0.378,0.075,0.069,,,
12/31/1947,0.647,0.397,0.087,0.081,,,
12/30/1948,0.637,0.391,0.089,0.109,,,
12/31/1949,0.655,0.397,0.098,0.063,,,
12/31/1950,0.64,0.389,0.108,0.105,,,
12/31/1951,0.6,0.359,0.091,0.122,,,
12/30/1952,0.597,0.35,0.085,0.107,,,
12/31/1953,0.598,0.346,0.089,0.099,,,
12/31/1954,0.613,0.347,0.086,0.089,,,
12/31/1955,0.607,0.346,0.096,0.111,,,
12/30/1956,0.603,0.338,0.089,0.122,,,
12/31/1957,0.605,0.337,0.089,0.111,,,
12/31/1958,0.614,0.335,0.082,0.085,,,
12/31/1959,0.607,0.33,0.086,0.104,,,
12/30/1960,0.61,0.326,0.084,0.108,,,
12/31/1961,0.607,0.317,0.078,0.108,,,
12/31/1962,0.601,0.313,0.082,0.114,,,
12/31/1963,0.599,0.31,0.085,0.118,,,
12/30/1964,0.6,0.31,0.087,0.121,,,
12/31/1965,0.597,0.309,0.089,0.127,,,
12/31/1966,0.589,0.306,0.088,0.124,,,
12/31/1967,0.589,0.301,0.086,0.112,,,
12/30/1968,0.591,0.302,0.09,0.107,,,
12/31/1969,0.593,0.299,0.089,0.106,,,
12/31/1970,0.603,0.297,0.084,0.085,,,
12/31/1971,0.6,0.293,0.088,0.083,,,
12/30/1972,0.6,0.292,0.091,0.091,,,
12/31/1973,0.595,0.291,0.091,0.11,,,
12/31/1974,0.601,0.291,0.084,0.092,,,
12/31/1975,0.612,0.291,0.084,0.066,,,
12/30/1976,0.613,0.291,0.09,0.075,,,
12/31/1977,0.612,0.288,0.092,0.082,,,
12/31/1978,0.606,0.282,0.091,0.095,,,
12/31/1979,0.604,0.28,0.086,0.093,,,
12/30/1980,0.613,0.279,0.079,0.072,,,
12/31/1981,0.604,0.271,0.076,0.081,,,
12/31/1982,0.62,0.269,0.076,0.057,,,
12/31/1983,0.629,0.268,0.081,0.044,,,
12/30/1984,0.619,0.264,0.085,0.072,,,
12/31/1985,0.627,0.262,0.088,0.057,,,
12/31/1986,0.632,0.261,0.092,0.041,,,
12/31/1987,0.635,0.258,0.091,0.046,,,
12/30/1988,0.637,0.254,0.09,0.056,,,
12/31/1989,0.634,0.251,0.087,0.049,,,
12/31/1990,0.639,0.249,0.083,0.039,,,
12/31/1991,0.641,0.242,0.077,0.037,,,
12/30/1992,0.645,0.239,0.078,0.03,,,
12/31/1993,0.65,0.239,0.08,0.024,,,
12/31/1994,0.649,0.239,0.083,0.034,,,
12/31/1995,0.65,0.237,0.083,0.04,,,
12/30/1996,0.65,0.236,0.083,0.05,,,
12/31/1997,0.646,0.233,0.083,0.063,,,
12/31/1998,0.649,0.232,0.086,0.068,,,
12/31/1999,0.653,0.237,0.089,0.062,,,
12/30/2000,0.661,0.239,0.089,0.058,,,
12/31/2001,0.669,0.238,0.089,0.043,,,
12/31/2002,0.673,0.237,0.09,0.03,,,
12/31/2003,0.674,0.236,0.088,0.023,,,
12/30/2004,0.673,0.236,0.088,0.025,,,
12/31/2005,0.671,0.235,0.086,0.027,,,
12/31/2006,0.671,0.233,0.083,0.036,,,
12/31/2007,0.673,0.232,0.082,0.016,,,
12/30/2008,0.68,0.229,0.075,-0.006,,,
12/31/2009,0.683,0.222,0.071,-0.021,,,
12/31/2010,0.682,0.225,0.072,-0.008,,,
12/31/2011,0.689,0.232,0.073,-0.001,,,
12/30/2012,0.685,0.232,0.074,0.02,,,
12/31/2013,0.68,0.229,0.074,0.025,,,
12/31/2014,0.682,0.228,0.074,0.033,,,
12/31/2015,0.681,0.222,0.075,0.033,,,
12/30/2016,0.687,0.221,0.076,0.029,,,
