Date,series1,series2,series3,series4,name,name_x,name_y
1934,0.007,0.006,,,Income,1/1/16,0.78
1935,0.007,0.008,,,Corporate,1/1/16,0.15
1936,0.008,0.009,0.001,,Payroll,1/1/16,0.39
1937,0.012,0.012,0.007,,9%,1/1/15,0.087
1938,0.014,0.014,0.017,,2%,1/1/15,0.019
1939,0.011,0.012,0.018,,6%,1/1/15,0.06
1940,0.009,0.012,0.018,,,,
1941,0.011,0.018,0.017,,,,
1942,0.022,0.032,0.017,,,,
1943,0.035,0.052,0.016,,,,
1944,0.092,0.069,0.016,,,,
1945,0.081,0.071,0.015,,,,
1946,0.071,0.052,0.014,,,,
1947,0.075,0.036,0.014,,,,
1948,0.074,0.037,0.014,,,,
1949,0.056,0.04,0.014,,,,
1950,0.056,0.037,0.016,,,,
1951,0.066,0.043,0.017,,,,
1952,0.078,0.059,0.018,,,,
1953,0.078,0.056,0.018,,,,
1954,0.076,0.054,0.019,,,,
1955,0.071,0.044,0.019,,,,
1956,0.073,0.048,0.021,,,,
1957,0.077,0.046,0.022,,,,
1958,0.073,0.042,0.024,,,,
1959,0.073,0.034,0.023,,,,
1960,0.076,0.04,0.027,,,,
1961,0.075,0.038,0.03,,,,
1962,0.078,0.035,0.029,,,,
1963,0.077,0.035,0.032,,,,
1964,0.073,0.035,0.033,,,,
1965,0.069,0.036,0.031,,,,
1966,0.071,0.038,0.033,,,,
1967,0.073,0.041,0.039,,,,
1968,0.076,0.032,0.038,,,,
1969,0.089,0.037,0.04,,,,
1970,0.086,0.031,0.042,,,,
1971,0.077,0.024,0.042,,,,
1972,0.078,0.026,0.043,,,,
1973,0.076,0.027,0.047,,,,
1974,0.08,0.026,0.051,,,,
1975,0.076,0.025,0.052,,,,
1976,0.074,0.023,0.051,,,,
6/30/76,0.082,0.018,0.053,,,,
1977,0.078,0.027,0.052,,,,
1978,0.079,0.026,0.053,,,,
1979,0.085,0.026,0.054,,,,
1980,0.087,0.023,0.056,,,,
1981,0.091,0.019,0.058,,,,
1982,0.09,0.015,0.061,,,,
1983,0.082,0.01,0.059,,,,
1984,0.075,0.014,0.061,,,,
1985,0.078,0.014,0.062,,,,
1986,0.077,0.014,0.063,,,,
1987,0.082,0.018,0.063,,,,
1988,0.078,0.018,0.065,,,,
1989,0.08,0.019,0.065,,,,
1990,0.079,0.016,0.064,,,,
1991,0.077,0.016,0.065,,,,
1992,0.074,0.016,0.064,,,,
1993,0.075,0.017,0.063,,,,
1994,0.075,0.02,0.064,,,,
1995,0.078,0.021,0.064,,,,
1996,0.082,0.022,0.064,,,,
1997,0.087,0.021,0.064,,,,
1998,0.093,0.021,0.064,,,,
1999,0.092,0.019,0.064,,,,
2000,0.099,0.02,0.064,,,,
2001,0.094,0.014,0.066,,,,
2002,0.079,0.014,0.064,,,,
2003,0.07,0.012,0.063,,,,
2004,0.067,0.016,0.061,,,,
2005,0.072,0.022,0.062,,,,
2006,0.076,0.026,0.061,,,,
2007,0.081,0.026,0.061,,,,
2008,0.078,0.021,0.061,,,,
2009,0.063,0.01,0.062,,,,
2010,0.061,0.013,0.058,,,,
2011,0.071,0.012,0.053,,,,
2012,0.071,0.015,0.053,,,,
2013,0.08,0.017,0.057,,,,
2014,0.081,0.019,0.06,,,,
2015,0.087,0.019,0.06,,,,
