start_timeline,end_timeline,timeline_values_1,timeline_values_2,timeline_values_3,war_flag,Wars
12/31/1915,12/31/1916,0.15, 0.15 ,0.00,,
12/31/1916,12/31/1917,0.67, 0.67 ,0.00,,
12/31/1917,12/31/1918,0.77, 0.77 ,0.00,1,WW I
12/31/1918,12/31/1919,0.73, 0.73 ,0.00,1,
12/31/1919,12/31/1920,0.73, 0.73 ,0.00,,
12/31/1920,12/31/1921,0.73, 0.73 ,0.00,,
12/31/1921,12/31/1922,0.58, 0.13 ,0.00,,
12/31/1922,12/31/1923,0.435, 0.13 ,0.00,,
12/31/1923,12/31/1924,0.46, 0.13 ,0.00,,
12/31/1924,12/31/1925,0.25, 0.13 ,0.00,,
12/31/1925,12/31/1926,0.25, 0.13 ,0.00,,
12/31/1926,12/31/1927,0.25, 0.13 ,0.00,,
12/31/1927,12/31/1928,0.25, 0.13 ,0.00,,
12/31/1928,12/31/1929,0.24, 0.13 ,0.00,,
12/31/1929,12/31/1930,0.25, 0.13 ,0.00,,
12/31/1930,12/31/1931,0.25, 0.13 ,0.00,,
12/31/1931,12/31/1932,0.63, 0.13 ,0.00,,
12/31/1932,12/31/1933,0.63, 0.32 ,0.00,,
12/31/1933,12/31/1934,0.63, 0.32 ,0.00,,
12/31/1934,12/31/1935,0.63, 0.32 ,0.00,,
12/31/1935,12/31/1936,0.78, 0.39 ,0.00,,
12/31/1936,12/31/1937,0.78, 0.39 ,0.02,,
12/31/1937,12/31/1938,0.78, 0.30 ,0.02,,
12/31/1938,12/31/1939,0.78, 0.30 ,0.02,,
12/31/1939,12/31/1940,0.78, 0.30 ,0.02,,
12/31/1940,12/31/1941,0.8, 0.30 ,0.02,1,
12/31/1941,12/31/1942,0.88, 0.25 ,0.02,1,WW II
12/31/1942,12/31/1943,0.88, 0.25 ,0.02,1,
12/31/1943,12/31/1944,0.94, 0.25 ,0.02,1,
12/31/1944,12/31/1945,0.94, 0.25 ,0.02,1,
12/31/1945,12/31/1946,0.865, 0.25 ,0.02,,
12/31/1946,12/31/1947,0.865, 0.25 ,0.02,,
12/31/1947,12/31/1948,0.821, 0.25 ,0.02,,
12/31/1948,12/31/1949,0.821, 0.25 ,0.02,,
12/31/1949,12/31/1950,0.844, 0.25 ,0.03,1,
12/31/1950,12/31/1951,0.91, 0.25 ,0.03,1,
12/31/1951,12/31/1952,0.91, 0.25 ,0.03,1,
12/31/1952,12/31/1953,0.91, 0.25 ,0.03,1,Korean War
12/31/1953,12/31/1954,0.91, 0.25 ,0.04,,
12/31/1954,12/31/1955,0.91, 0.25 ,0.04,,
12/31/1955,12/31/1956,0.91, 0.25 ,0.04,1,
12/31/1956,12/31/1957,0.91, 0.25 ,0.05,1,
12/31/1957,12/31/1958,0.91, 0.25 ,0.05,1,
12/31/1958,12/31/1959,0.91, 0.25 ,0.05,1,
12/31/1959,12/31/1960,0.91, 0.25 ,0.06,1,
12/31/1960,12/31/1961,0.91, 0.25 ,0.06,1,
12/31/1961,12/31/1962,0.91, 0.25 ,0.06,1,
12/31/1962,12/31/1963,0.91, 0.25 ,0.07,1,
12/31/1963,12/31/1964,0.91, 0.25 ,0.07,1,
12/31/1964,12/31/1965,0.7, 0.25 ,0.07,1,
12/31/1965,12/31/1966,0.7, 0.25 ,0.08,1,
12/31/1966,12/31/1967,0.7, 0.25 ,0.09,1,Vietnam War
12/31/1967,12/31/1968,0.753, 0.27 ,0.09,1,
12/31/1968,12/31/1969,0.77, 0.28 ,0.10,1,
12/31/1969,12/31/1970,0.7175, 0.32 ,0.10,1,
12/31/1970,12/31/1971,0.6, 0.34 ,0.10,1,
12/31/1971,12/31/1972,0.5, 0.37 ,0.10,1,
12/31/1972,12/31/1973,0.5, 0.37 ,0.12,1,
12/31/1973,12/31/1974,0.5, 0.37 ,0.12,1,
12/31/1974,12/31/1975,0.5, 0.37 ,0.12,,
12/31/1975,12/31/1976,0.5, 0.39 ,0.12,,
