start_MilitaryExp,end_MilitaryExp,MilitaryExp,war_flag,Wars
12/31/1815,12/31/1816,2.436637363,,
12/31/1816,12/31/1817,1.475110533,,
12/31/1817,12/31/1818,1.166214383,,
12/31/1818,12/31/1819,1.429409091,,
12/31/1819,12/31/1820,0.990580282,,
12/31/1820,12/31/1821,1.057121088,,
12/31/1821,12/31/1822,0.66750559,,
12/31/1822,12/31/1823,0.739920949,,
12/31/1823,12/31/1824,0.814465517,,
12/31/1824,12/31/1825,0.785021898,,
12/31/1825,12/31/1826,0.94195843,,
12/31/1826,12/31/1827,0.896858079,,
12/31/1827,12/31/1828,0.891467113,,
12/31/1828,12/31/1829,0.876890323,,
12/31/1829,12/31/1830,0.785726027,,
12/31/1830,12/31/1831,0.847728137,,
12/31/1831,12/31/1832,0.816170062,,
12/31/1832,12/31/1833,1.011360104,,
12/31/1833,12/31/1834,0.789066448,,
12/31/1834,12/31/1835,0.724242537,,
12/31/1835,12/31/1836,0.837878296,,
12/31/1836,12/31/1837,1.024266409,,
12/31/1837,12/31/1838,0.943421151,,
12/31/1838,12/31/1839,0.604447923,,
12/31/1839,12/31/1840,0.875158831,,
12/31/1840,12/31/1841,0.918860775,,
12/31/1841,12/31/1842,0.893250927,,
12/31/1842,12/31/1843,0.416681122,,
12/31/1843,12/31/1844,0.694448884,,
12/31/1844,12/31/1845,0.925797741,,
12/31/1845,12/31/1846,2.218833898,,
12/31/1846,12/31/1847,1.476949793,,
12/31/1847,12/31/1848,1.626543881,,
12/31/1848,12/31/1849,0.707481604,,
12/31/1849,12/31/1850,0.811729562,,
12/31/1850,12/31/1851,0.635379956,,
12/31/1851,12/31/1852,0.675388128,,
12/31/1852,12/31/1853,0.680110239,,
12/31/1853,12/31/1854,0.757694587,,
12/31/1854,12/31/1855,0.72482717,,
12/31/1855,12/31/1856,0.742141586,,
12/31/1856,12/31/1857,0.877275359,,
12/31/1857,12/31/1858,0.866440753,,
12/31/1858,12/31/1859,0.624320904,,
12/31/1859,12/31/1860,0.780510599,,
12/31/1860,12/31/1861,9.797043722,,
12/31/1861,12/31/1862,13.01224572,1,Civil War
12/31/1862,12/31/1863,11.00554638,1,
12/31/1863,12/31/1864,16.43290711,1,
12/31/1864,12/31/1865,2.34862173,1,
12/31/1865,12/31/1866,1.35016496,,
12/31/1866,12/31/1867,2.459775641,,
12/31/1867,12/31/1868,1.673781858,,
12/31/1868,12/31/1869,1.35465623,,
12/31/1869,12/31/1870,0.939394777,,
12/31/1870,12/31/1871,0.841331507,,
12/31/1871,12/31/1872,0.934416897,,
12/31/1872,12/31/1873,0.942941043,,
12/31/1873,12/31/1874,0.816449609,,
12/31/1874,12/31/1875,0.795179027,,
12/31/1875,12/31/1876,0.694558655,,
12/31/1876,12/31/1877,0.535749884,,
12/31/1877,12/31/1878,0.657028723,,
12/31/1878,12/31/1879,0.540331781,,
12/31/1879,12/31/1880,0.528042057,,
12/31/1880,12/31/1881,0.492585945,,
12/31/1881,12/31/1882,0.515001216,,
12/31/1882,12/31/1883,0.445607157,,
12/31/1883,12/31/1884,0.466327337,,
12/31/1884,12/31/1885,0.404743956,,
12/31/1885,12/31/1886,0.410315687,,
12/31/1886,12/31/1887,0.393356815,,
12/31/1887,12/31/1888,0.439934929,,
12/31/1888,12/31/1889,0.459424108,,
12/31/1889,12/31/1890,0.472112461,,
12/31/1890,12/31/1891,0.478409179,,
12/31/1891,12/31/1892,0.461638489,,
12/31/1892,12/31/1893,0.529648208,,
12/31/1893,12/31/1894,0.546812885,,
12/31/1894,12/31/1895,0.47140047,,
12/31/1895,12/31/1896,0.510006648,,
12/31/1896,12/31/1897,0.901404991,,
12/31/1897,12/31/1898,1.593677654,,
12/31/1898,12/31/1899,0.952257947,1,Spanish-American War
12/31/1899,12/31/2000,0.972803958,,
12/31/2000,12/31/2001,0.781638899,,
12/31/2001,12/31/2002,0.79627126,,
12/31/2002,12/31/2003,0.813353858,,
12/31/2003,12/31/2004,0.9000334,,
12/31/2004,12/31/2005,0.755615702,,
12/31/2005,12/31/2006,0.674845864,,
12/31/2006,12/31/2007,0.835050325,,
12/31/2007,12/31/2008,0.867437235,,
12/31/2008,12/31/2009,0.840755962,,
12/31/2009,12/31/2010,0.80476738,,
12/31/2010,12/31/2011,0.8011046,,
12/31/2011,12/31/2012,0.76113668,,
12/31/2012,12/31/2013,0.774243364,,
12/31/2013,12/31/2014,0.68747794,,
12/31/2014,12/31/2015,0.659823807,,
