president,start_president,end_president
Washington,4/30/1789,3/4/1797
J.Adams,3/4/1797,3/4/1801
Jefferson,3/4/1801,3/4/1809
Madison,3/4/1809,3/4/1817
Monroe,3/4/1817,3/4/1825
J.Q.Adams,3/4/1825,3/4/1829
Jackson,3/4/1829,3/4/1837
Van Buren,3/4/1837,3/4/1841
W.H.Harrison,3/4/1841,4/4/1841
Tyler,4/4/1841,3/4/1845
Polk,3/4/1845,3/4/1849
Taylor,3/4/1849,3/4/1850
Fillmore,3/4/1850,3/4/1853
Pierce,3/4/1853,3/4/1857
Buchanan,3/4/1857,3/4/1861
Lincoln,3/4/1861,4/15/1865
A.Johnson,4/15/1865,3/4/1869
Grant,3/4/1869,3/4/1877
Hayes,3/4/1877,3/4/1881
Garfield,3/4/1881,9/19/1881
Arthur,9/19/1881,3/4/1885
Cleveland,3/4/1885,3/4/1889
B.Harrison,3/4/1889,3/4/1893
Cleveland,3/4/1893,3/4/1897
McKinley,3/4/1897,9/14/1901
T.Roosevelt,9/14/1901,3/4/1909
Taft,3/4/1909,3/4/1913
Wilson,3/4/1913,3/4/1921
Harding,3/4/1921,8/2/1923
Coolidge,8/2/1923,3/4/1929
Hoover,3/4/1929,3/4/1933
F.D.Roosevelt,3/4/1933,4/12/1945
Truman,4/12/1945,1/20/1953
Eisenhower,1/20/1953,1/20/1961
Kennedy,1/20/1961,11/22/1963
L.B.Johnson,11/22/1963,1/20/1969
Nixon,1/20/1969,8/9/1974
Ford,8/9/1974,1/20/1977
Carter,1/20/1977,1/20/1981
Reagan,1/20/1981,1/20/1989
G.H.W.Bush,1/20/1989,1/20/1993
Clinton,1/20/1993,1/20/2001
G.W.Bush,1/20/2001,1/20/2009
Obama,1/20/2009,1/20/2017
Trump,1/20/2017,
