start_recession,end_recession
6/1/1857,12/1/1858
10/1/1860,6/1/1861
4/1/1865,12/1/1867
6/1/1869,12/1/1870
10/1/1873,3/1/1879
3/1/1882,5/1/1885
3/1/1887,4/1/1888
7/1/1890,5/1/1891
1/1/1893,6/1/1894
12/1/1895,6/1/1897
6/1/1899,12/1/1900
9/1/1902,8/1/1904
5/1/1907,6/1/1908
1/1/1910,1/1/1912
1/1/1913,12/1/1914
8/1/1918,3/1/1919
1/1/1920,7/1/1921
5/1/1923,7/1/1924
10/1/1926,11/1/1927
8/1/1929,3/1/1933
5/1/1937,6/1/1938
2/1/1945,10/1/1945
11/1/1948,10/1/1949
7/1/1953,5/1/1954
8/1/1957,4/1/1958
4/1/1960,2/1/1961
12/1/1969,11/1/1970
11/1/1973,3/1/1975
1/1/1980,7/1/1980
7/1/1981,11/1/1982
7/1/1990,3/1/1991
3/1/2001,11/1/2001
12/1/2007,6/1/2009
